                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70988,                 1.2517,                 1.0151,                0.56934,                0.73128,                0.61748,                0.47027,                0.81277,                 2.0085,                 1.0172,             0.00066265,             0.00066265,             0.00066265
                      2,                0.81181,                 1.0233,                 1.0663,                0.68485,                0.69384,                 0.7028,                0.53445,                0.87197,                 1.1514,                  1.044,               0.001323,               0.001323,               0.001323
                      3,                 0.7943,                0.94052,                 1.0456,                0.67344,                 0.6878,                0.66827,                0.50566,                0.84245,                 1.9313,                 1.0628,              0.0019769,              0.0019769,              0.0019769
                      4,                0.77056,                0.88234,                 1.0451,                0.69959,                0.78049,                0.78056,                0.61067,                0.78039,                 1.0205,                0.99909,              0.0019713,              0.0019713,              0.0019713
                      5,                0.73502,                0.84747,                 1.0319,                0.70857,                0.77234,                0.76471,                0.59842,                0.76845,                0.89182,                 1.0013,              0.0019617,              0.0019617,              0.0019617
                      6,                0.71662,                0.83869,                 1.0129,                0.70861,                0.75922,                0.76498,                0.59704,                0.74458,                0.94419,                0.98173,              0.0019522,              0.0019522,              0.0019522
                      7,                0.69153,                0.79433,                  1.004,                0.68349,                0.79286,                0.76701,                0.62007,                0.71772,                0.85417,                0.96122,              0.0019426,              0.0019426,              0.0019426
                      8,                0.68889,                0.75939,                0.99856,                0.72051,                0.67089,                0.69348,                0.55904,                0.76321,                 1.1766,                0.99297,               0.001933,               0.001933,               0.001933
                      9,                 0.6701,                 0.7567,                0.98848,                0.75422,                0.74457,                0.78758,                0.63823,                0.69513,                0.86807,                0.96484,              0.0019235,              0.0019235,              0.0019235
                     10,                0.65861,                0.71371,                0.98963,                0.67975,                0.74698,                0.75966,                0.62286,                0.69483,                0.87267,                0.95307,              0.0019139,              0.0019139,              0.0019139
                     11,                 0.6625,                0.74284,                0.99436,                0.64579,                0.79046,                0.76326,                0.62131,                0.71046,                0.92822,                0.97255,              0.0019043,              0.0019043,              0.0019043
                     12,                  0.659,                0.71165,                0.98275,                0.53063,                0.72524,                0.60523,                0.46454,                 0.8254,                 1.2681,                 1.0407,              0.0018948,              0.0018948,              0.0018948
                     13,                0.64941,                0.69781,                0.98374,                0.73847,                0.78947,                0.78691,                0.64405,                0.67736,                0.80386,                0.94506,              0.0018852,              0.0018852,              0.0018852
                     14,                0.61167,                0.66362,                0.97284,                 0.7433,                0.82126,                 0.8238,                0.67369,                0.66704,                0.77805,                  0.942,              0.0018757,              0.0018757,              0.0018757
                     15,                0.62903,                0.68756,                0.97316,                0.72754,                 0.7998,                0.81268,                0.67812,                0.66771,                0.75189,                0.94348,              0.0018661,              0.0018661,              0.0018661
                     16,                0.62916,                0.67781,                 0.9733,                0.73357,                0.79143,                0.81115,                0.67736,                0.64191,                0.72904,                0.93514,              0.0018565,              0.0018565,              0.0018565
                     17,                0.62543,                0.66253,                0.97366,                0.74891,                 0.7889,                0.80947,                0.66428,                0.66119,                   0.74,                0.93709,               0.001847,               0.001847,               0.001847
                     18,                0.62617,                0.64649,                0.97193,                0.76615,                0.80322,                0.84183,                0.69745,                0.63582,                0.68196,                0.93213,              0.0018374,              0.0018374,              0.0018374
                     19,                0.60275,                0.63632,                0.96101,                0.72847,                0.80031,                0.81592,                 0.6783,                0.65754,                 0.7339,                0.94141,              0.0018278,              0.0018278,              0.0018278
                     20,                0.59097,                 0.6359,                0.96259,                0.72849,                0.78904,                0.81615,                0.68126,                0.64948,                0.75497,                0.93128,              0.0018183,              0.0018183,              0.0018183
                     21,                0.59768,                0.62561,                0.95492,                0.75386,                0.77678,                 0.8344,                0.69811,                0.63908,                 0.6807,                 0.9321,              0.0018087,              0.0018087,              0.0018087
                     22,                0.60162,                0.62813,                0.96118,                0.72972,                0.77959,                0.80411,                0.65975,                 0.6506,                0.75707,                0.93583,              0.0017991,              0.0017991,              0.0017991
                     23,                0.58258,                0.60265,                   0.95,                0.75643,                0.79831,                 0.8496,                0.70231,                0.64633,                0.68184,                0.93575,              0.0017896,              0.0017896,              0.0017896
                     24,                0.57735,                 0.6112,                0.94727,                 0.7647,                0.80854,                0.83877,                0.69888,                0.63306,                0.67468,                0.92193,                0.00178,                0.00178,                0.00178
                     25,                0.59546,                0.62472,                 0.9578,                 0.7356,                 0.7971,                0.82487,                0.68134,                0.63467,                0.73426,                0.92351,              0.0017704,              0.0017704,              0.0017704
                     26,                0.58589,                 0.5974,                0.95838,                0.74264,                0.82307,                0.84154,                 0.7035,                 0.6428,                 0.6753,                0.93232,              0.0017609,              0.0017609,              0.0017609
                     27,                0.58627,                0.59415,                0.94917,                0.78104,                0.77329,                0.85121,                0.71545,                0.61765,                0.65537,                0.91263,              0.0017513,              0.0017513,              0.0017513
                     28,                0.58172,                0.59189,                0.95278,                0.76714,                0.80918,                0.85163,                0.70349,                 0.6381,                0.64734,                0.92849,              0.0017417,              0.0017417,              0.0017417
